ID;Animal;Halsband Nummer klein;Halsband Nummer gross;Ohr-marken Nummer;VHF-Frequenz;Drop-off Number;Sex;Name;Fang Datum&Zeit;Start Manipulation;Ende Manipulation;Manipulation;Freilassung Datum&Zeit;Halsband weg Datum&Zeit;Tage am Sender;Bemerkung;Falle;Schuss Betäubung;Zeit Tier liegt;Betäubung;Dosierung Zoletil (mg/kg);Lochnummer;Halsumfang;Gewicht;Hinterlauf;Kondition;Battery Pack;Halsband Gewicht ;Rotte;Alter Monate;Bemerkungen;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;WS037;13970;6;37;148.640;02725;f;Stefanie;12.05.2015 20:51;12.05.2015 22:40;12.05.2015 22:52;00:12:00;12.05.2015 21:57;22.07.2015 21:00;70.96;abgestreift;Immoos;;;nein;;5;52.5;36;25.3;1.42;2D;800;Grossrotte;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;WS039;12272;1;39;148.100;02100;m;Peter;15.05.2015 03:11;15.05.2015 05:30;15.05.2015 05:45;00:15:00;15.05.2015 05:45;30.09.2015 12:30;138.28;drop-off;Bränngarte;;;nein;;5;62;55;27.5;2.00;3D;1000;grossrotte;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;WS040;12273;3;40;148.120;02059;m;Franz;20.05.2015 22:08;20.05.2015 23:21;20.05.2015 23:33;00:12:00;20.05.2015 22:34;26.09.2015 18:15;128.82;erlegt;Reiherwäldli;;;nein;;8;56;40;26.8;1.49;3D;1000;einzelgänger;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;WS027;13969;5;27;148.620;02722;f;Agathe_2;06.06.2015 20:45;06.06.2015 21:00;06.06.2015 21:15;00:15:00;06.06.2015 21:15;09.11.2015 15:05;155.74;drop-off;Grien;;;nein;;gestanzt;52;41;26.1;1.57;3D;1000;Grossrotte;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;WS048;13975;11;29;148.760;04509;m;Amos;15.07.2015 21:35;16.07.2015 00:12;16.07.2015 00:20;00:08:00;16.07.2015 00:20;11.04.2016 13:30;270.55;drop-off;Reiherwäldli;;;nein;;9;57.5;46;28.2;1.63;2D;800;einzelgänger;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;WS056;13970;6;56;148.640;02725;f;Kunigunde;26.08.2015 22:30;26.08.2015 22:54;26.08.2015 23:03;00:09:00;26.08.2015 23:03;06.10.2015 10:30;40.48;drop-off;Mooshalde;;;nein;;1;44;20;21:08;22.71;2D;800;3er Rotte (Waisen);7;Batterie leer am 25.09.2015;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;WS022;13571;13;22;148.460;03905;f;Miriam;03.09.2015 22:13;04.09.2015 00:00;04.09.2015 00:21;00:21:00;04.09.2015 00:21;03.10.2016 xx:xx;;drop-off;Reiherwäldli;;;nein;;gestanzt;57;47;28.6;1.64;3D;1000;allein;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;WS058;12274;10;58;148.140;04510;m;Chigu;03.10.2015 23:50;04.10.2015 03:43;04.10.2015 04:01;00:18:00;04.10.2015 04:01;24.10.2015 02:00;19.92;erlegt;Stockacher;;;nein;;4;48;27;25;1.08;2D;800;überläuferrotte;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;WS060;12273;3;60;148.120;02059;f;Venus_1;19.10.2015 22:43;20.10.2015 00:25;20.10.2015 00:40;00:15:00;20.10.2015 00:40;08.01.2016 21:55;80.89;aktuell;Bahn;;;nein;;3;46;24.5;22.3;1.10;2D;800;Grossrotte;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;WS061;13974;4;61;148.740;04696;f;Bianca;30.10.2015 01:30;30.10.2015 04:10;30.10.2015 04:25;00:15:00;30.10.2015 04:25;09.01.2016 13:30;71.38;erlegt;Stockacher;;;nein;;4;48;27;22.8;1.18;2D;800;Grossrotte;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;WS064;12274;3;64;148.140;04510;f;Anna;30.10.2015 01:30;30.10.2015 04:48;30.10.2015 05:00;00:12:00;30.10.2015 05:00;09.01.2016 13:30;71.35;angeschossen/ erlegt 16.01.2016;Stockacher;;;nein;;6;51;29;22.6;1.28;2D;800;Grossrotte;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;WS065;12275;2;65;148.160;04697;m;George;20.11.2015 22:46;20.11.2015 02:37;20.11.2015 02:49;00:12:00;21.11.2015 02:49;07.07.2016 13:00;229.42;drop-off;Grien;;;nein;;4;57;36;25.9;1.39;2D;800;Grossrotte;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;WS010;13973;9;10;148.700;02720;f;Caroline_3;24.11.2015 01:46;24.11.2015 05:00;24.11.2015 05:08;00:08:00;24.11.2015 05:08;29.02.2016 23:45;97.78;halsband ok;Fritzenburg;;;nein;;;;81.5;;;;;Grossrotte;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;WS083;12842;14;83;148.340;03892;f;Evelin;08.12.2015 22:00;08.12.2015 23:55;09.12.2015 00:12;00:17:00;09.12.2015 00:12;04.03.2016 12:40;86.52;abgestreift;Bahn;;;nein;;5;64;67;30;2.23;3D;1000;Grossrotte;>24;Nr.50 mit in der falle;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;WS084;12843;15;84;148.380;03910;f;Gaby;12.12.2015 17:53;12.12.2015 20:05;12.12.2015 20:20;00:15:00;12.12.2015 20:20;29.12.2015 18:45;16.93;abgestreift;Fritzenburg;;;nein;;6;66;52;28;1.86;3D;1000;1 adult, 2 rothaarige;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;WS060;13969;5;60;148.620;05224;f;Venus_2;08.01.2016 20:12;08.01.2016 21:55;08.01.2016 22:05;00:10:00;08.01.2016 22:05;21.07.2016 xx:xx;;drop-off;Bahn;;;nein;;2;47;29;24;1.21;2D;800;Grossrotte;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;WS086;13972;8;86;148.680;04695;f;Frida;11.01.2016 00:40;11.01.2016 05:40;11.01.2016 06:00;00:20:00;11.01.2016 06:00;06.06.2016 xx:xx;;drop-off;Fritzenburg;;;nein;;;77;96;29.5;3.25;3D;;allein;>24;3 Zizen trägt;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;WS088;13976;12;88;148.780;05225;f;Monika;16.01.2016 04:09;16.01.2016 07:32;16.01.2016 07:47;00:15:00;16.01.2016 07:47;13.03.2016 00:00;56.68;abgestreift;Bränngarte;;;nein;;7;54;46;27.2;1.69;2D;800;Grossrotte;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;WS001;12844;16;1;148.400;03895;m;Ueli_2;29.01.2016 21:15;29.01.2016 23:18;29.01.2016 23:45;00:27:00;29.01.2015 23:45;15.09.2016 xx:xx;;drop-off;Fritzenburg;;;nein;;;79;91;30.8;2.95;3D;;;42;rechter Hinterlauf verletzt;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;WS091;12272;1;91;148.100;05227;f;Marguerite;15.02.2016 00:30;15.02.2016 06:20;15.02.2016 06:37;00:17:00;15.02.2016 06:37;09.03.2016 21:15;23.61;erlegt;Stockacher;;;nein;;5;63;35.1;26.8;1.31;3D;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;WS010;13570;17;10;148.440;05494;f;Caroline_4;29.02.2016 21:00;29.02.2016 23:45;01.03.2016 00:15;00:30:00;01.03.2016 00:15;29.06.2016 23:30;;abgestreift;Funknarkose_1;29.02.2016 21:00;;ja;7.30;8;63;68;29;2.34;3D;1000;2 adult, 8 rotharige ;30;Schuss um 09:00 mit Funknarkose;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;WS093;12842;14;93;148.340;03892;f;Wilma;14.04.2016 21:20;14.04.2016 22:15;14.04.2016 22:32;00:17:00;14.04.2016 22:32;20.04.2016 19:00;5.85;abgestreift;Lindenhof;;;nein;;5;68;49.2;27.6;1.78;3D;1000;allein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;WS094;12274;;94;148.140;05493;f;Ranka;17.04.2016 23:45;17.04.2016 23:55;18.04.2016 00:25;00:30:00;18.04.2016 00:25;20.04.2016 05:00;2.19;abgestreift;Mooshalde;;;nein;;9;60.5;37;27.2;1.36;2D;800;2 gleichgrosse;<12;Antenne am Halsband, Eine ist entwischt;;;;;;;;;;;;;;;;;;;;;;;;;;;
